league,season,team,player,nation,pos,age,born,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt
INT-World Cup,2018,England,Kyle Walker,England,DF,28,1990,5.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,England,Marcus Rashford,England,FW,20,1997,2.2,0,5,2,40.0,2.23,0.89,0.0,0.0,0,0
INT-World Cup,2018,England,Phil Jones,England,DF,26,1992,2.0,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,England,Raheem Sterling,England,FW,23,1994,5.0,0,10,1,10.0,2.0,0.2,0.0,0.0,0,0
INT-World Cup,2018,England,Ruben Loftus-Cheek,England,MF,22,1996,3.0,0,3,1,33.3,0.99,0.33,0.0,0.0,0,0
INT-World Cup,2018,England,Trent Alexander-Arnold,England,MF,19,1998,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0
INT-World Cup,2018,France,Antoine Griezmann,France,"MF,FW",27,1991,6.3,4,22,11,50.0,3.5,1.75,0.05,0.09,3,3
INT-World Cup,2018,France,Benjamin Mendy,France,DF,23,1994,0.5,0,0,0,,0.0,0.0,,,0,0
INT-World Cup,2018,France,Benjamin Pavard,France,DF,22,1996,6.0,1,4,2,50.0,0.67,0.33,0.25,0.5,0,0
INT-World Cup,2018,France,Blaise Matuidi,France,MF,31,1987,3.7,0,6,1,16.7,1.62,0.27,0.0,0.0,0,0
