league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Denmark,Mathias Jensen,Denmark,MF,26,1996,0.9,1,0,0,2,1,0,2,0,1,,,0
INT-World Cup,2022,Denmark,Mikkel Damsgaard,Denmark,FW,21,2000,1.7,0,0,0,2,1,1,3,1,3,,,0
INT-World Cup,2022,Denmark,Pierre Højbjerg,Denmark,MF,26,1995,3.0,0,0,0,0,1,0,1,4,2,,,0
INT-World Cup,2022,Denmark,Rasmus Kristensen,Denmark,"MF,DF",24,1997,2.5,1,0,0,2,1,0,7,2,8,,,0
INT-World Cup,2022,Denmark,Robert Skov,Denmark,"FW,MF",26,1996,0.2,1,0,0,1,0,0,5,0,0,,,0
INT-World Cup,2022,Denmark,Simon Kjær,Denmark,DF,33,1989,0.7,0,0,0,0,0,0,0,5,0,,,0
INT-World Cup,2022,Denmark,Thomas Delaney,Denmark,MF,30,1991,0.5,0,0,0,0,0,0,1,0,0,,,0
INT-World Cup,2022,Denmark,Victor Nelsson,Denmark,DF,23,1998,1.0,0,0,0,0,2,0,0,2,0,,,0
INT-World Cup,2022,Ecuador,Alan Franco,Ecuador,MF,23,1998,0.5,0,0,0,0,0,0,0,1,0,,,0
INT-World Cup,2022,Ecuador,Carlos Gruezo,Ecuador,MF,27,1995,0.5,0,0,0,0,0,0,0,0,2,,,0
INT-World Cup,2022,Ecuador,Djorkaeff Reasco,Ecuador,FW,23,1999,0.3,0,0,0,1,0,0,0,0,0,,,0
INT-World Cup,2022,Ecuador,Enner Valencia,Ecuador,FW,32,1989,2.8,0,0,0,3,7,2,3,1,0,,,0
INT-World Cup,2022,Ecuador,Félix Torres Caicedo,Ecuador,DF,25,1997,3.0,0,0,0,1,0,0,0,4,2,,,0
INT-World Cup,2022,Ecuador,Gonzalo Plata,Ecuador,"FW,MF",21,2000,3.0,0,0,0,4,6,0,17,2,2,,,0
INT-World Cup,2022,Ecuador,Hernán Galíndez,Ecuador,GK,35,1987,3.0,0,0,0,0,0,0,0,0,0,,,0
INT-World Cup,2022,Ecuador,Jackson Porozo,Ecuador,DF,21,2000,1.1,0,0,0,1,2,1,0,3,2,,,0
INT-World Cup,2022,Ecuador,Jeremy Sarmiento,Ecuador,MF,19,2002,0.9,0,0,0,2,2,1,5,1,1,,,0
INT-World Cup,2022,Ecuador,Jhegson Méndez,Ecuador,MF,25,1997,2.0,2,0,0,3,2,0,2,1,2,,,0
